 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     6.6422                 7.5723                 8.9248
 Red. masses --    11.1678                11.0868                11.1825
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.1036                 0.0284                 0.0600
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.01  -0.01   0.11     0.03   0.05  -0.30    -0.11  -0.06  -0.01
   2   6     0.02  -0.01   0.11     0.02   0.09  -0.25    -0.09  -0.06  -0.01
   3   6     0.02  -0.01   0.09     0.01   0.08  -0.16    -0.07  -0.06  -0.00
   4   6     0.01  -0.00   0.07     0.02   0.03  -0.13    -0.06  -0.04  -0.01
   5   7     0.01   0.00   0.05     0.01   0.02  -0.05    -0.05  -0.04  -0.00
   6   6     0.01  -0.00   0.06     0.00   0.02  -0.00    -0.03  -0.05   0.01
   7   6     0.02  -0.00   0.05    -0.01   0.05   0.07     0.00  -0.05   0.02
   8   6     0.02  -0.01   0.06    -0.01   0.05   0.11     0.02  -0.06   0.04
   9   6     0.01  -0.00   0.08    -0.00   0.02   0.09     0.01  -0.09   0.04
  10   6    -0.00  -0.00   0.09     0.01  -0.01   0.02    -0.02  -0.10   0.03
  11   6    -0.00  -0.00   0.08     0.01  -0.01  -0.02    -0.03  -0.08   0.02
  12   6     0.01   0.00   0.02     0.01   0.01  -0.01    -0.04  -0.02  -0.01
  13   6     0.02  -0.00   0.01     0.00   0.04  -0.04    -0.04   0.00  -0.02
  14   6     0.02   0.00  -0.02     0.00   0.03  -0.01    -0.04   0.02  -0.03
  15   6     0.01   0.01  -0.04     0.01  -0.01   0.05    -0.03   0.02  -0.02
  16   6     0.01   0.01  -0.06     0.01  -0.02   0.08    -0.03   0.02  -0.02
  17   6     0.00   0.01  -0.07     0.01  -0.02   0.14    -0.03   0.02  -0.01
  18   6     0.00   0.01  -0.09     0.01  -0.02   0.15    -0.03   0.02  -0.01
  19   6     0.00   0.01  -0.10     0.01  -0.02   0.12    -0.03   0.03  -0.01
  20   7     0.01   0.01  -0.11     0.01  -0.02   0.13    -0.03   0.03  -0.00
  21   6     0.01   0.01  -0.11     0.01  -0.02   0.09    -0.03   0.03  -0.00
  22   6     0.00   0.01  -0.11     0.01  -0.01   0.08    -0.03   0.03   0.00
  23   6     0.00   0.01  -0.10     0.01  -0.01   0.10    -0.03   0.03   0.01
  24   6     0.00   0.01  -0.09     0.01  -0.01   0.08    -0.03   0.03   0.01
  25   6     0.01   0.01  -0.09     0.01  -0.01   0.04    -0.03   0.03   0.01
  26   6     0.00   0.00  -0.07     0.01  -0.01   0.01    -0.03   0.04   0.01
  27   6     0.01  -0.03  -0.03    -0.02  -0.03   0.02    -0.02   0.03   0.02
  28   6     0.00  -0.04   0.00    -0.02  -0.03  -0.00    -0.02   0.04   0.01
  29   6     0.00  -0.01  -0.02     0.01  -0.01  -0.04    -0.02   0.07  -0.00
