 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     7.5813                 9.5718                17.5958
 Red. masses --    11.0725                11.2486                11.4426
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     3.5331                 3.1547                 7.7997
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.01  -0.02  -0.09    -0.04   0.02   0.14     0.06   0.03  -0.06
   2   6    -0.01  -0.01  -0.05    -0.02   0.02   0.09     0.05   0.02  -0.06
   3   6    -0.00  -0.02  -0.04    -0.03   0.07   0.08     0.06   0.01  -0.05
   4   6    -0.01   0.03  -0.05    -0.01  -0.01   0.09     0.04  -0.00  -0.05
   5   6    -0.01   0.08  -0.05    -0.01  -0.05   0.10     0.02  -0.03  -0.06
   6   6    -0.01   0.11  -0.05     0.01  -0.07   0.09     0.00  -0.08  -0.06
   7   6    -0.02   0.09  -0.04     0.02  -0.05   0.07    -0.01  -0.10  -0.05
   8   6    -0.02   0.05  -0.03     0.01  -0.02   0.06     0.01  -0.06  -0.04
   9   6    -0.02   0.01  -0.03    -0.00   0.00   0.07     0.03  -0.01  -0.05
  10   5    -0.03   0.03  -0.01     0.02  -0.01   0.03     0.00  -0.08  -0.04
  11   6    -0.02   0.03  -0.00     0.01  -0.00   0.02     0.01  -0.07  -0.04
  12   6     0.01   0.08  -0.00    -0.02  -0.01   0.01     0.02  -0.04  -0.04
  13   6     0.01   0.06   0.01    -0.03  -0.01  -0.00     0.03  -0.02  -0.04
  14   6    -0.03  -0.01   0.02    -0.02  -0.01  -0.02     0.03  -0.02  -0.04
  15   7    -0.04  -0.04   0.04    -0.04  -0.03  -0.05     0.04  -0.00  -0.05
  16   6    -0.08  -0.00  -0.03    -0.06  -0.03  -0.03     0.05   0.00  -0.05
  17   6    -0.10   0.04  -0.05    -0.07  -0.02  -0.01     0.06  -0.02  -0.04
  18   6    -0.15   0.08  -0.12    -0.10  -0.02  -0.01     0.07  -0.01  -0.05
  19   6    -0.17   0.07  -0.15    -0.12  -0.04  -0.02     0.08   0.01  -0.07
  20   6    -0.15   0.02  -0.13    -0.11  -0.05  -0.04     0.07   0.03  -0.07
  21   6    -0.10  -0.02  -0.06    -0.08  -0.05  -0.05     0.05   0.02  -0.06
  22   6    -0.08  -0.07  -0.05    -0.07  -0.07  -0.08     0.04   0.04  -0.07
  23   6    -0.11   0.01  -0.06    -0.09  -0.09  -0.09     0.04   0.06  -0.07
  24   6    -0.08  -0.15  -0.14    -0.06  -0.07  -0.09     0.06   0.05  -0.07
  25   6    -0.03  -0.11   0.04    -0.04  -0.06  -0.09     0.03   0.04  -0.06
  26   6     0.01  -0.16   0.09    -0.03  -0.07  -0.12     0.02   0.05  -0.06
  27   6     0.06  -0.20   0.17     0.00  -0.07  -0.13    -0.00   0.05  -0.05
  28   6     0.08  -0.17   0.20     0.01  -0.05  -0.11    -0.01   0.03  -0.04
