 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  131          1             0       -6.926445   -1.777893   -4.349838
  132          1             0       -6.350446   -3.330258   -3.747493
  133          1             0       -8.078369   -3.054222   -3.945299
  134          1             0       -8.328746   -0.275442   -2.851461
  135          1             0       -8.570032   -0.708086   -1.148990
  136          1             0       -9.343918   -1.647075   -2.421037
  137          1             0       -8.410877   -3.710452   -1.481210
  138          1             0       -7.544606   -2.815751   -0.226232
  139          1             0       -6.671717   -3.927298   -1.276207
  140          1             0       -4.771460   -3.131492   -2.209112
  141          1             0       -2.628481   -2.175900   -1.572536
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     9.5376                13.1380                15.4938
 Red. masses --    10.5865                10.4901                10.6376
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.0858                 0.2039                 0.0497
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.02  -0.02   0.22    -0.19   0.03  -0.06    -0.08   0.05  -0.12
   2   6    -0.01  -0.01   0.19    -0.15   0.06  -0.03    -0.07   0.06  -0.11
   3   6    -0.02  -0.05   0.19    -0.16   0.10  -0.01    -0.04   0.11  -0.13
   4   6     0.00   0.04   0.21    -0.14   0.05  -0.02    -0.11   0.03  -0.13
   5   6    -0.01  -0.00   0.13    -0.11   0.03  -0.02    -0.04   0.03  -0.06
   6   6    -0.01  -0.01   0.12    -0.11  -0.01  -0.04    -0.03   0.01  -0.03
   7   6    -0.01  -0.01   0.07    -0.07  -0.03  -0.04    -0.01  -0.00  -0.00
   8   6    -0.01   0.00   0.04    -0.04  -0.01  -0.03     0.00   0.00   0.00
   9   6    -0.00   0.02   0.05    -0.03   0.02  -0.00    -0.00   0.02  -0.01
  10   6    -0.01   0.01   0.09    -0.07   0.04  -0.00    -0.02   0.04  -0.04
  11   6    -0.00   0.03   0.01     0.01   0.03   0.02     0.02   0.02   0.01
  12   6     0.00   0.04  -0.00     0.04   0.06   0.06     0.03   0.03   0.02
  13   6     0.01   0.05  -0.04     0.08   0.06   0.07     0.05   0.03   0.04
  14   6     0.01   0.06  -0.06     0.11   0.09   0.12     0.06   0.04   0.07
  15   6     0.01   0.03  -0.10     0.10   0.10   0.14     0.05   0.05   0.08
  16   6     0.01   0.11  -0.08     0.18   0.08   0.12     0.10   0.03   0.07
  17   6     0.01   0.07  -0.03     0.09   0.12   0.17     0.05   0.05   0.10
  18   6     0.01   0.05  -0.06     0.10   0.03   0.04     0.05   0.02   0.03
  19   6     0.01   0.03  -0.05     0.08  -0.00  -0.00     0.05   0.01   0.02
  20   6     0.00   0.02  -0.01     0.03  -0.00  -0.01     0.03   0.01   0.01
  21   7    -0.00   0.01   0.00    -0.00  -0.03  -0.04     0.02  -0.01   0.01
  22   6     0.00  -0.00  -0.00     0.00  -0.05  -0.05     0.02  -0.01   0.01
  23   6     0.00  -0.01  -0.01     0.00  -0.05  -0.05     0.01  -0.01   0.00
  24   7     0.01  -0.03  -0.04    -0.00  -0.05  -0.05     0.01  -0.05  -0.02
  25   6     0.02  -0.05  -0.03    -0.01  -0.05  -0.03     0.03  -0.08  -0.02
  26   6     0.03  -0.06   0.01    -0.01  -0.05  -0.03     0.08  -0.08  -0.02
  27   6     0.04  -0.08   0.01    -0.01  -0.06  -0.01     0.11  -0.12  -0.03
  28   6     0.04  -0.10  -0.03    -0.02  -0.06   0.01     0.08  -0.16  -0.04
  29   6     0.02  -0.09  -0.06    -0.02  -0.06   0.01     0.03  -0.16  -0.03
  30   6     0.01  -0.07  -0.06    -0.01  -0.06  -0.01     0.01  -0.12  -0.03
  31   6    -0.00  -0.05  -0.09    -0.01  -0.06  -0.02    -0.04  -0.11  -0.03
  32   6    -0.01  -0.06  -0.14    -0.01  -0.06  -0.01    -0.08  -0.13  -0.04
  33   6    -0.03  -0.04  -0.16    -0.01  -0.06  -0.02    -0.12  -0.10  -0.04
  34   6    -0.03  -0.02  -0.14    -0.00  -0.05  -0.04    -0.12  -0.06  -0.03
  35   6    -0.02  -0.01  -0.10    -0.00  -0.05  -0.05    -0.08  -0.03  -0.03
  36   6    -0.01  -0.03  -0.08    -0.00  -0.05  -0.04    -0.04  -0.06  -0.02
  37   6     0.00  -0.00  -0.00     0.00  -0.05  -0.05     0.01   0.00   0.01
  38   6     0.00   0.01   0.01    -0.00  -0.05  -0.05     0.01   0.02   0.02
  39   7     0.00   0.03   0.04     0.00  -0.05  -0.04     0.00   0.05   0.03
  40   6    -0.01   0.03   0.08    -0.00  -0.04  -0.03    -0.04   0.06   0.03
  41   6    -0.03   0.00   0.10    -0.01  -0.04  -0.04    -0.08   0.04   0.04
  42   6    -0.04   0.01   0.15    -0.02  -0.04  -0.03    -0.12   0.06   0.04
  43   6    -0.04   0.03   0.16    -0.01  -0.04  -0.01    -0.12   0.10   0.04
  44   6    -0.02   0.05   0.14    -0.00  -0.04  -0.00    -0.08   0.13   0.04
  45   6    -0.01   0.05   0.10     0.00  -0.04  -0.01    -0.04   0.11   0.03
  46   6     0.01   0.07   0.07     0.01  -0.04  -0.01    -0.00   0.12   0.03
  47   6     0.02   0.09   0.07     0.02  -0.04   0.01     0.02   0.16   0.03
  48   6     0.04   0.10   0.03     0.03  -0.03   0.01     0.06   0.16   0.04
  49   6     0.04   0.09  -0.00     0.03  -0.04  -0.01     0.09   0.12   0.04
  50   6     0.03   0.06  -0.00     0.02  -0.04  -0.03     0.07   0.08   0.04
  51   6     0.02   0.05   0.03     0.01  -0.04  -0.02     0.03   0.08   0.03
  52   6     0.00   0.00   0.00     0.00  -0.05  -0.05     0.02   0.01   0.01
  53   7    -0.00  -0.01  -0.00     0.00  -0.03  -0.04     0.02   0.01   0.01
  54   6    -0.01  -0.00  -0.04     0.04  -0.02  -0.03    -0.00  -0.00   0.01
  55   6    -0.01   0.01  -0.07     0.07  -0.03  -0.04    -0.02   0.01   0.02
  56   6    -0.01   0.02  -0.12     0.11  -0.01  -0.04    -0.05  -0.01   0.05
  57   6    -0.01   0.01  -0.13     0.10   0.02  -0.02    -0.05  -0.04   0.05
  58   6    -0.01   0.02  -0.18     0.14   0.05  -0.02    -0.08  -0.06   0.10
  59   6     0.00  -0.03  -0.21     0.13   0.05  -0.01    -0.11  -0.05   0.11
  60   6    -0.03   0.06  -0.19     0.15   0.09   0.00    -0.06  -0.12   0.10
  61   6    -0.02   0.04  -0.22     0.18   0.03  -0.04    -0.11  -0.06   0.12
  62   6    -0.01  -0.01  -0.09     0.07   0.04   0.00    -0.03  -0.04   0.03
  63   6    -0.00  -0.01  -0.05     0.03   0.02  -0.00    -0.00  -0.02   0.01
  64   6     0.00  -0.03  -0.01    -0.01   0.02   0.01     0.02  -0.02  -0.01
  65   6     0.00  -0.04  -0.00    -0.03   0.05   0.05     0.04  -0.04  -0.04
  66   6     0.01  -0.05   0.04    -0.07   0.05   0.06     0.06  -0.03  -0.06
  67   6     0.01  -0.07   0.06    -0.10   0.08   0.11     0.08  -0.04  -0.10
  68   6     0.01  -0.12   0.08    -0.16   0.07   0.10     0.13  -0.04  -0.10
  69   6     0.01  -0.07   0.02    -0.08   0.10   0.15     0.07  -0.05  -0.14
  70   6     0.01  -0.03   0.10    -0.09   0.08   0.12     0.06  -0.05  -0.11
  71   6     0.01  -0.05   0.06    -0.09   0.02   0.03     0.07  -0.02  -0.04
  72   6     0.01  -0.04   0.05    -0.07  -0.00  -0.00     0.06  -0.00  -0.01
  73   6     0.00  -0.02   0.01    -0.03  -0.00  -0.01     0.03  -0.00  -0.01
  74   6    -0.00  -0.00   0.00     0.00  -0.05  -0.05     0.02   0.00   0.01
  75   6     0.00   0.00   0.00     0.00  -0.06  -0.07     0.02   0.00   0.01
  76   7     0.02   0.00   0.00     0.00  -0.08  -0.08     0.02   0.00   0.01
  77   1    -0.00  -0.01   0.08    -0.06   0.02  -0.02    -0.03   0.02  -0.05
  78   1    -0.01  -0.02   0.06    -0.06   0.01  -0.02    -0.02   0.02  -0.03
  79   1    -0.00   0.00   0.06    -0.05  -0.00  -0.02    -0.03   0.00  -0.03
  80   1    -0.01  -0.02   0.05    -0.05   0.03  -0.00    -0.00   0.04  -0.03
  81   1    -0.01  -0.02   0.07    -0.05   0.04  -0.00    -0.02   0.04  -0.05
  82   1    -0.01  -0.01   0.05    -0.04   0.04   0.00    -0.01   0.04  -0.04
  83   1     0.00   0.02   0.06    -0.04   0.01  -0.01    -0.04  -0.00  -0.03
  84   1     0.00   0.02   0.05    -0.03   0.02  -0.00    -0.03   0.01  -0.04
  85   1     0.00   0.01   0.07    -0.05   0.02  -0.01    -0.04   0.01  -0.05
  86   1    -0.00  -0.01   0.04    -0.04  -0.01  -0.02    -0.01   0.00  -0.01
  87   1    -0.00  -0.01   0.02    -0.02  -0.02  -0.02    -0.00  -0.01   0.00
  88   1    -0.00   0.01   0.03    -0.02   0.02   0.01    -0.01   0.01  -0.01
  89   1     0.00   0.01   0.00     0.01   0.02   0.02     0.01   0.01   0.01
