 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     5.2714                 7.1722                 8.6866
 Red. masses --    11.4854                11.2977                11.2738
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.0415                 0.0461                 0.0036
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   7     0.00  -0.10   0.26     0.00  -0.01   0.05    -0.13  -0.08  -0.09
   2   6     0.01  -0.08   0.20    -0.00  -0.01   0.03    -0.10  -0.06  -0.06
   3   6     0.01  -0.06   0.15    -0.01  -0.01   0.01    -0.07  -0.05  -0.03
   4   6     0.02  -0.09   0.13     0.00  -0.01  -0.00    -0.07  -0.02  -0.01
   5   6     0.02  -0.08   0.09    -0.00  -0.01  -0.02    -0.05  -0.01   0.01
   6   6     0.01  -0.04   0.06    -0.02  -0.01  -0.02    -0.02  -0.03   0.02
   7   7     0.01  -0.04   0.02    -0.02  -0.01  -0.04    -0.00  -0.03   0.06
   8   6     0.01  -0.03  -0.01    -0.02  -0.00  -0.03     0.00  -0.03   0.08
   9   6     0.00  -0.03  -0.02    -0.02  -0.00  -0.01    -0.00  -0.02   0.06
  10   6     0.01  -0.07   0.01    -0.00  -0.01   0.00    -0.01  -0.01   0.05
  11   6     0.01  -0.06   0.00    -0.00  -0.01   0.03    -0.01   0.02   0.02
  12   6     0.00  -0.01  -0.03    -0.02  -0.01   0.04    -0.01   0.06  -0.02
  13   6     0.00   0.01  -0.04    -0.01  -0.01   0.06    -0.01   0.11  -0.06
  14   6     0.00   0.06  -0.08    -0.03  -0.01   0.07    -0.01   0.15  -0.10
  15   6    -0.00   0.10  -0.10    -0.05  -0.00   0.06     0.00   0.15  -0.10
  16   6    -0.01   0.15  -0.14    -0.06   0.00   0.07     0.01   0.20  -0.14
  17   6    -0.01   0.19  -0.17    -0.08   0.01   0.05     0.01   0.20  -0.13
  18   6    -0.01   0.17  -0.16    -0.08   0.01   0.03     0.02   0.15  -0.08
  19   6    -0.01   0.12  -0.12    -0.06   0.01   0.02     0.01   0.10  -0.04
  20   6    -0.00   0.10  -0.11    -0.06   0.01  -0.01     0.01   0.05   0.00
  21   6    -0.00   0.05  -0.08    -0.05   0.00  -0.01     0.01   0.01   0.04
  22   6     0.00   0.01  -0.05    -0.03  -0.00  -0.00     0.00   0.01   0.03
  23   6     0.00   0.03  -0.06    -0.03  -0.00   0.02    -0.00   0.06  -0.01
  24   6    -0.00   0.08  -0.10    -0.05   0.00   0.03     0.00   0.10  -0.05
  25   7     0.00  -0.03  -0.04    -0.03  -0.01  -0.05     0.00  -0.03   0.12
  26   6     0.01  -0.03  -0.02    -0.02  -0.01  -0.06     0.00  -0.03   0.10
  27   6     0.01  -0.03  -0.03    -0.02  -0.01  -0.07     0.00  -0.03   0.12
  28   6     0.01  -0.03  -0.05    -0.02  -0.01  -0.07     0.01  -0.03   0.14
  29   6     0.01  -0.02  -0.05    -0.02  -0.01  -0.07     0.01  -0.02   0.14
  30   6     0.01  -0.02  -0.02    -0.02  -0.00  -0.07     0.01  -0.02   0.10
  31   6     0.01  -0.02  -0.00    -0.02   0.01  -0.07     0.01  -0.01   0.07
