 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  131          1             0       -3.778320    5.591246   -0.198775
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     8.6931                12.0912                17.7602
 Red. masses --    10.4894                10.1198                10.1968
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.0931                 0.0662                 0.1959
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.01  -0.08   0.27    -0.07  -0.04   0.09    -0.04   0.08   0.04
   2   6    -0.00  -0.09   0.22    -0.06  -0.05   0.07    -0.03   0.05   0.07
   3   6    -0.00  -0.05   0.27    -0.07  -0.04   0.09    -0.07   0.06   0.12
   4   6    -0.02  -0.17   0.22    -0.07  -0.09   0.07     0.02   0.01   0.09
   5   6     0.01  -0.06   0.15    -0.04  -0.04   0.04    -0.02   0.07   0.04
   6   6     0.02  -0.08   0.10    -0.03  -0.04   0.02     0.00   0.06   0.01
   7   6     0.03  -0.06   0.04    -0.02  -0.03  -0.00     0.01   0.07  -0.02
   8   6     0.01  -0.02   0.04    -0.01  -0.02  -0.01    -0.00   0.09  -0.02
   9   7     0.00   0.01  -0.02     0.00  -0.01  -0.04     0.00   0.11  -0.04
  10   6     0.00   0.01  -0.03     0.02  -0.01  -0.06     0.01   0.09  -0.06
  11   6     0.01   0.02  -0.03     0.05  -0.01  -0.06     0.05   0.10  -0.06
  12   6     0.01   0.03  -0.05     0.07  -0.02  -0.08     0.07   0.06  -0.06
  13   6     0.01   0.02  -0.05     0.06  -0.04  -0.11     0.07   0.01  -0.06
  14   6     0.01   0.03  -0.06     0.08  -0.05  -0.15     0.10  -0.08  -0.03
  15   6    -0.00   0.02  -0.08     0.02  -0.01  -0.16     0.14  -0.07   0.01
  16   6     0.01   0.04  -0.07     0.12  -0.09  -0.10     0.15  -0.11   0.02
  17   6     0.01   0.04  -0.06     0.11  -0.06  -0.22     0.04  -0.15  -0.07
  18   6     0.00   0.01  -0.04     0.02  -0.03  -0.12     0.03   0.02  -0.07
  19   6     0.00   0.01  -0.03     0.00  -0.02  -0.09     0.00   0.06  -0.07
  20   6     0.00   0.00  -0.03     0.01  -0.00  -0.02    -0.01   0.08  -0.02
  21   6     0.00   0.00  -0.02     0.01  -0.00  -0.01    -0.03   0.08  -0.01
  22   6     0.00   0.00  -0.01     0.01   0.00  -0.01    -0.04   0.06  -0.00
  23   6     0.00   0.00  -0.02     0.01  -0.00  -0.01    -0.03   0.04  -0.00
  24   6    -0.00  -0.00  -0.05     0.01  -0.00  -0.01    -0.00   0.04  -0.01
  25   6    -0.00  -0.00  -0.05     0.01  -0.00  -0.01     0.01   0.06  -0.02
  26   7    -0.00  -0.01  -0.08     0.01   0.00   0.00     0.02   0.02  -0.01
  27   6    -0.00   0.01  -0.11     0.01  -0.00   0.02     0.03   0.03  -0.02
  28   6     0.00   0.04  -0.12    -0.00  -0.01   0.01     0.03   0.05  -0.02
  29   6    -0.00   0.06  -0.17    -0.00  -0.02   0.03     0.05   0.05  -0.03
  30   6    -0.01   0.04  -0.20     0.00  -0.01   0.04     0.07   0.03  -0.03
  31   6    -0.01   0.00  -0.19     0.01  -0.00   0.04     0.07   0.01  -0.03
  32   6    -0.01  -0.01  -0.15     0.01   0.00   0.03     0.05   0.01  -0.02
  33   6    -0.01  -0.05  -0.13     0.01   0.02   0.02     0.05  -0.01  -0.01
  34   6    -0.02  -0.09  -0.12     0.01   0.03   0.02     0.05   0.00  -0.02
  35   6    -0.02  -0.06  -0.17     0.02   0.02   0.04     0.07  -0.03  -0.01
  36   6    -0.01  -0.04  -0.09     0.01   0.01   0.01     0.02  -0.02  -0.00
  37   6    -0.01  -0.05  -0.08     0.01   0.01  -0.00     0.02  -0.04   0.00
  38   6    -0.00  -0.04  -0.04     0.00   0.01  -0.02    -0.01  -0.05   0.01
  39   6     0.00  -0.02  -0.01     0.00   0.00  -0.03    -0.02  -0.03   0.01
  40   6     0.00  -0.01  -0.02     0.00   0.00  -0.02    -0.02  -0.01   0.00
  41   6    -0.00  -0.02  -0.06     0.01   0.00  -0.00     0.01  -0.00  -0.00
  42   5     0.00   0.00  -0.00     0.01  -0.00  -0.02    -0.03   0.01   0.00
  43   6     0.00   0.02   0.04     0.01  -0.01  -0.04    -0.06   0.01   0.00
  44   6     0.00   0.03   0.07     0.01  -0.02  -0.06    -0.07  -0.01  -0.00
  45   6     0.01   0.04   0.11     0.00  -0.02  -0.07    -0.10  -0.01  -0.02
  46   6     0.01   0.05   0.15     0.00  -0.03  -0.11    -0.11  -0.04  -0.03
  47   6     0.03   0.03   0.19    -0.04  -0.04  -0.12    -0.13  -0.02  -0.05
  48   6     0.00   0.06   0.14     0.01  -0.05  -0.15    -0.09  -0.06  -0.01
  49   6    -0.02   0.09   0.17     0.04  -0.03  -0.11    -0.12  -0.07  -0.04
  50   6     0.01   0.03   0.11    -0.00  -0.01  -0.04    -0.11   0.01  -0.03
  51   6     0.01   0.02   0.07    -0.00  -0.00  -0.01    -0.10   0.03  -0.02
  52   6     0.00   0.01   0.04     0.01  -0.00  -0.02    -0.08   0.03  -0.00
  53   7     0.00   0.01   0.01     0.01   0.00   0.00    -0.07   0.06   0.01
  54   6     0.00   0.01  -0.00     0.00   0.01   0.05    -0.07   0.07   0.02
  55   6     0.02   0.01  -0.01    -0.01  -0.05   0.07    -0.09   0.07   0.03
  56   6     0.02   0.01  -0.03    -0.02  -0.02   0.12    -0.06   0.01   0.05
  57   6    -0.00   0.02  -0.03    -0.03   0.08   0.14     0.00  -0.06   0.05
  58   6    -0.01   0.03  -0.05    -0.05   0.14   0.20     0.07  -0.19   0.07
  59   6     0.00   0.03  -0.06    -0.04   0.03   0.21     0.04  -0.19   0.08
  60   6    -0.02   0.04  -0.07    -0.03   0.26   0.10     0.02  -0.33   0.14
  61   6    -0.03   0.03  -0.04    -0.12   0.19   0.34     0.23  -0.20  -0.01
  62   6    -0.02   0.02  -0.02    -0.01   0.13   0.12     0.01  -0.03   0.04
  63   6    -0.01   0.01  -0.01     0.00   0.09   0.07    -0.03   0.03   0.02
  64   6    -0.00   0.01   0.09    -0.02  -0.01  -0.00    -0.02   0.09   0.01
  65   6    -0.00  -0.01   0.14    -0.03  -0.02   0.03    -0.03   0.08   0.04
  66   1    -0.00  -0.03   0.08    -0.02  -0.01   0.02    -0.00   0.02  -0.00
  67   1    -0.01  -0.03   0.09    -0.02  -0.01   0.03    -0.01   0.02   0.02
  68   1     0.00  -0.01   0.08    -0.02  -0.00   0.03    -0.02   0.03   0.01
  69   1     0.00  -0.00   0.08    -0.02  -0.00   0.03    -0.03   0.03   0.03
  70   1    -0.00  -0.02   0.09    -0.02  -0.02   0.03    -0.02   0.01   0.04
  71   1    -0.00  -0.01   0.07    -0.02  -0.02   0.02    -0.02   0.01   0.04
  72   1    -0.01  -0.06   0.05    -0.02  -0.03   0.02     0.01   0.00   0.02
  73   1    -0.01  -0.05   0.08    -0.02  -0.03   0.03     0.00   0.00   0.03
  74   1    -0.00  -0.05   0.05    -0.02  -0.03   0.01     0.01  -0.00   0.03
  75   1     0.01  -0.03   0.03    -0.01  -0.02   0.01     0.00   0.01   0.00
  76   1     0.01  -0.02   0.00    -0.00  -0.01  -0.00     0.01   0.02  -0.01
  77   1     0.00   0.01  -0.01     0.02   0.00  -0.01     0.02   0.04  -0.02
  78   1     0.00   0.01  -0.02     0.03  -0.01  -0.02     0.03   0.02  -0.02
  79   1    -0.00   0.00  -0.02    -0.00   0.00  -0.03     0.06   0.00   0.02
  80   1    -0.00   0.00  -0.02    -0.01   0.01  -0.06     0.02  -0.01  -0.01
  81   1    -0.00   0.01  -0.03     0.01  -0.01  -0.05     0.05  -0.05   0.01
  82   1     0.00   0.01  -0.02     0.03  -0.02  -0.01     0.06  -0.02   0.01
  83   1     0.01   0.01  -0.02     0.04  -0.03  -0.03     0.03  -0.04  -0.00
  84   1     0.00   0.01  -0.02     0.04  -0.03  -0.03     0.05  -0.05   0.01
