 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  131          1             0        7.474813    4.558630    0.372640
  132          1             0        5.245769    4.207536   -1.729410
  133          1             0        3.620460    2.315423   -1.799424
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     5.2395                 7.9006                 8.2882
 Red. masses --    11.3497                10.6287                10.2729
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     0.7067                 0.0145                 0.0310
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6    -0.06  -0.05  -0.05     0.06  -0.18  -0.06    -0.06  -0.20  -0.16
   2   6    -0.04  -0.04  -0.05     0.05  -0.13  -0.08    -0.03  -0.14  -0.17
   3   6    -0.04  -0.05  -0.06     0.05  -0.12  -0.05    -0.03  -0.13  -0.19
   4   6    -0.03  -0.04  -0.06     0.06  -0.12  -0.14    -0.02  -0.13  -0.24
   5   6    -0.04  -0.03  -0.04     0.04  -0.09  -0.05    -0.02  -0.10  -0.12
   6   6    -0.04  -0.02  -0.02     0.04  -0.09  -0.07    -0.03  -0.10  -0.10
   7   6    -0.04  -0.01  -0.01     0.03  -0.06  -0.05    -0.02  -0.06  -0.06
   8   6    -0.03  -0.01  -0.01     0.02  -0.03  -0.02    -0.01  -0.03  -0.03
   9   6    -0.03  -0.01  -0.02     0.02  -0.03   0.00    -0.01  -0.02  -0.05
  10   6    -0.03  -0.02  -0.03     0.03  -0.06  -0.02    -0.01  -0.06  -0.09
  11   6    -0.03  -0.01  -0.02     0.00   0.01   0.04     0.01   0.02  -0.01
  12   6    -0.02  -0.01  -0.02    -0.01   0.03   0.07     0.01   0.04  -0.00
  13   6    -0.02  -0.00  -0.02    -0.02   0.07   0.10     0.02   0.08   0.03
  14   6    -0.02  -0.01  -0.02    -0.04   0.10   0.15     0.03   0.11   0.05
  15   6    -0.02  -0.02  -0.04    -0.03   0.09   0.15     0.03   0.09   0.01
  16   6    -0.00   0.00  -0.02    -0.06   0.16   0.13     0.05   0.17   0.03
  17   6    -0.03  -0.01  -0.01    -0.03   0.09   0.20     0.03   0.10   0.11
  18   6    -0.02   0.01  -0.00    -0.03   0.08   0.09     0.03   0.09   0.06
  19   6    -0.02   0.01   0.01    -0.02   0.06   0.06     0.02   0.07   0.05
  20   6    -0.03   0.00  -0.00    -0.00   0.02   0.03     0.01   0.03   0.02
  21   7    -0.03   0.00   0.00     0.01  -0.00  -0.00     0.00   0.01   0.01
  22   6    -0.03   0.01   0.01     0.01  -0.00  -0.01     0.00   0.00   0.02
  23   6    -0.04   0.01   0.02     0.01  -0.00   0.00     0.00   0.00   0.04
  24   6    -0.04   0.02   0.03     0.01  -0.00  -0.00     0.00   0.00   0.04
