 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
 --------------------------------------------------------------------
  131          1             0       -7.477113    5.965011    2.745750
  132          1             0       -3.018072    6.238771   -0.671341
  133          1             0       -1.455151    4.331741   -1.044179
 --------------------------------------------------------------------
     1 basis functions        1 primitive gaussians
     1 alpha electrons        1 beta electrons
 
 Harmonic frequencies (cm**-1), IR intensities (km*mol⁻¹),
 Raman scattering activities (A**4/amu), Raman depolarization ratios,
 reduced masses (AMU), force constants (mDyne/A) and normal coordinates:
                      1                      2                      3
                        a                      a                      a 
 Frequencies --     3.2997                 6.0915                 7.2709
 Red. masses --    11.8879                10.4589                10.4353
 Frc consts  --     0.0000                 0.0000                 0.0000
 IR Inten    --     1.5953                 0.0049                 0.0639
 Raman Activ --     0.0000                 0.0000                 0.0000
 Depolar     --     0.0000                 0.0000                 0.0000
 Atom AN      X      Y      Z        X      Y      Z        X      Y      Z
   1   6     0.01  -0.01  -0.03    -0.19  -0.06   0.06    -0.17   0.03   0.23
   2   6     0.02  -0.01  -0.02    -0.18  -0.07   0.09    -0.15   0.04   0.18
   3   6     0.01  -0.01  -0.04    -0.17  -0.11   0.15    -0.14  -0.02   0.22
   4   6     0.03  -0.03  -0.02    -0.25  -0.06   0.07    -0.19   0.11   0.17
   5   6     0.01  -0.01  -0.01    -0.12  -0.05   0.06    -0.09   0.03   0.11
   6   6     0.02  -0.01   0.00    -0.10  -0.06   0.07    -0.07   0.03   0.07
   7   6     0.01  -0.00   0.02    -0.06  -0.05   0.05    -0.03   0.02   0.01
   8   6     0.00   0.01   0.02    -0.03  -0.03   0.02    -0.01   0.01  -0.00
   9   6    -0.00   0.01   0.02    -0.04  -0.02   0.00    -0.03   0.00   0.04
  10   6     0.00   0.00   0.00    -0.09  -0.03   0.02    -0.07   0.01   0.09
  11   6    -0.01   0.02   0.03    -0.00   0.01  -0.03    -0.00  -0.01   0.01
  12   6    -0.02   0.03   0.03     0.00   0.03  -0.06    -0.00  -0.02   0.02
  13   6    -0.03   0.04   0.04     0.05   0.05  -0.09     0.02  -0.03  -0.01
  14   6    -0.04   0.05   0.04     0.06   0.08  -0.13     0.02  -0.04   0.00
  15   6    -0.03   0.05   0.05     0.05   0.11  -0.17     0.02  -0.01  -0.02
  16   6    -0.04   0.04   0.03     0.02   0.07  -0.13    -0.01  -0.04   0.05
  17   6    -0.05   0.06   0.04     0.11   0.08  -0.11     0.04  -0.09   0.00
  18   6    -0.03   0.04   0.05     0.08   0.06  -0.09     0.05  -0.04  -0.06
  19   6    -0.02   0.03   0.05     0.08   0.04  -0.06     0.05  -0.03  -0.07
  20   6    -0.01   0.02   0.04     0.03   0.01  -0.03     0.03  -0.01  -0.04
  21   7    -0.00   0.01   0.04     0.02  -0.01  -0.00     0.03  -0.00  -0.05
  22   6     0.00   0.01   0.05     0.02  -0.01   0.02     0.02   0.00  -0.06
  23   6     0.00   0.01   0.07     0.02  -0.01   0.01     0.02  -0.00  -0.08
  24   6     0.01   0.01   0.08     0.02  -0.01   0.02     0.02  -0.00  -0.07
  25   6     0.01   0.01   0.07     0.02  -0.01   0.03     0.02  -0.00  -0.06
  26   6     0.00   0.01   0.05     0.03  -0.01   0.04     0.02   0.00  -0.05
  27   6     0.00   0.01   0.04     0.03  -0.01   0.04     0.02   0.00  -0.06
  28   6     0.01   0.01   0.05     0.02  -0.01   0.05     0.02   0.00  -0.04
  29   6     0.00   0.01   0.03     0.02  -0.01   0.04     0.02   0.01  -0.04
  30   6     0.01   0.01   0.03     0.02  -0.00   0.03     0.02   0.01  -0.02
  31   7     0.00   0.01   0.01     0.02   0.00   0.01     0.02   0.01  -0.03
  32   6    -0.01   0.01   0.01    -0.00  -0.01  -0.02     0.02   0.04   0.00
  33   6    -0.01   0.02   0.02    -0.03  -0.04  -0.05     0.02   0.08   0.04
  34   6    -0.02   0.01   0.00    -0.05  -0.05  -0.08     0.03   0.11   0.07
  35   6    -0.02   0.01  -0.02    -0.04  -0.03  -0.09     0.03   0.10   0.05
  36   6    -0.03   0.01  -0.03    -0.06  -0.04  -0.13     0.03   0.14   0.09
  37   6    -0.03  -0.00  -0.06    -0.05   0.00  -0.12     0.03   0.11   0.06
  38   6    -0.05   0.02  -0.03    -0.08  -0.11  -0.11     0.03   0.22   0.07
  39   6    -0.02   0.00  -0.02    -0.09  -0.03  -0.20     0.04   0.12   0.17
  40   6    -0.01   0.00  -0.03    -0.01   0.01  -0.06     0.02   0.06   0.01
  41   6    -0.00   0.00  -0.02     0.01   0.01  -0.03     0.02   0.04  -0.01
  42   6     0.01  -0.00  -0.02     0.03   0.04   0.00     0.02  -0.00  -0.05
  43   6     0.01  -0.01  -0.04     0.05   0.07   0.01     0.02  -0.02  -0.08
  44   6     0.02  -0.02  -0.04     0.08   0.09   0.04     0.02  -0.06  -0.11
  45   6     0.03  -0.02  -0.06     0.10   0.12   0.05     0.01  -0.09  -0.15
  46   6     0.01  -0.02  -0.06     0.12   0.11   0.10     0.01  -0.08  -0.21
  47   6     0.05  -0.03  -0.06     0.11   0.17   0.04     0.02  -0.15  -0.14
  48   6     0.02  -0.03  -0.08     0.09   0.13   0.02     0.01  -0.07  -0.14
  49   6     0.02  -0.01  -0.02     0.08   0.08   0.06     0.02  -0.07  -0.12
  50   6     0.02  -0.00  -0.00     0.07   0.05   0.05     0.02  -0.05  -0.09
  51   6     0.01  -0.00  -0.00     0.04   0.03   0.02     0.02  -0.01  -0.06
  52   6     0.01   0.01   0.05     0.02  -0.00   0.02     0.02   0.00  -0.00
  53   6     0.01   0.01   0.06     0.02  -0.01   0.03     0.01   0.00  -0.01
  54   6     0.01   0.01   0.07     0.02  -0.01   0.04     0.02   0.00  -0.03
  55   7     0.01   0.01   0.09     0.02  -0.02   0.04     0.02  -0.00  -0.04
  56   6     0.01   0.01   0.09     0.02  -0.02   0.03     0.01  -0.01  -0.02
  57   6     0.01  -0.00   0.09     0.02  -0.02   0.03     0.01  -0.03  -0.03
  58   6     0.00  -0.01   0.09     0.01  -0.02   0.03     0.00  -0.04  -0.01
  59   6    -0.01  -0.01   0.10     0.01  -0.02   0.03     0.00  -0.02   0.01
  60  16    -0.06  -0.05   0.13     0.00  -0.05   0.05    -0.00  -0.05   0.05
  61   8    -0.20  -0.14   0.11    -0.00  -0.03   0.03    -0.01  -0.06   0.04
  62   8     0.04   0.03   0.20     0.00  -0.03   0.03    -0.01  -0.01   0.05
  63   6     0.01  -0.03  -0.11     0.01  -0.03   0.02     0.00  -0.03   0.01
  64   6     0.14   0.05  -0.15     0.01  -0.03   0.02     0.01  -0.02   0.01
  65   6     0.19   0.04  -0.30     0.01  -0.04   0.02     0.01  -0.02  -0.00
  66   6     0.10  -0.04  -0.41     0.01  -0.04   0.02     0.01  -0.04  -0.01
  67   6    -0.03  -0.11  -0.36     0.01  -0.04   0.02     0.00  -0.04  -0.00
  68   6    -0.07  -0.11  -0.22     0.01  -0.04   0.02    -0.00  -0.04   0.01
  69   6    -0.00   0.00   0.10     0.01  -0.02   0.03     0.01   0.00   0.01
  70   6     0.00   0.01   0.09     0.01  -0.02   0.03     0.01   0.01  -0.00
  71   1    -0.00   0.00  -0.01    -0.04  -0.02   0.02    -0.04  -0.01   0.07
